Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL295032;;;414.84;0;4.92;59;Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1;IC50;'>';1000000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL768737;Concentration required to inhibit human prostaglandin G/H synthase 1 (COX-1) by 50%;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130039;1;Scientific Literature;J Med Chem;1997;;;;;1000.0
CHEMBL49394;;;414.45;0;3.38;16;CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2N2CCCC(CO)C2)cc1;IC50;'=';41000.0;nM;4.39;;;UO_0000065;10.59;0.21;1.01;6.22;0;CHEMBL772765;Inhibition of Prostaglandin G/H synthase 1 in human whole blood (HWB) assay;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1131754;1;Scientific Literature;Bioorg Med Chem Lett;1999;;;;;41.0
CHEMBL174009;;;390.46;0;4.25;22;CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)csc2CC(=O)O)cc1;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL768829;Inhibitory activity against human recombinant Prostaglandin G/H synthase 1 expressed in microsomes taken from baculovirus infected Sf9 cells;B;BAO_0000219;cell-based format;;;;Sf9;Microsomes;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1128908;1;Scientific Literature;Bioorg Med Chem Lett;1996;CHEMBL3308860;;;;50.0
CHEMBL185621;;;381.43;0;3.91;21;Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL833051;Inhibition of human cyclooxygenase-1 expressed in COS cells;B;BAO_0000219;cell-based format;Homo sapiens;;;COS;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138006;1;Scientific Literature;Bioorg Med Chem Lett;2004;;;;;100000.0
CHEMBL117306;;;369.23;0;2.89;51k;NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL768746;In vitro inhibitory activity against human Prostaglandin G/H synthase 1 (COX-1) in U-937 cells;B;BAO_0000219;cell-based format;;;;U-937;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145864;1;Scientific Literature;J Med Chem;2003;CHEMBL3308006;;;;10.0
CHEMBL114783;;;350.80;0;3.74;32;CS(=O)(=O)c1ccc(-c2cnc(Cl)n2-c2ccc(F)cc2)cc1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL768746;In vitro inhibitory activity against human Prostaglandin G/H synthase 1 (COX-1) in U-937 cells;B;BAO_0000219;cell-based format;;;;U-937;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145864;1;Scientific Literature;J Med Chem;2003;CHEMBL3308006;;;;10.0
CHEMBL115979;;;398.27;0;3.50;51i;COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl;IC50;'=';1200.0;nM;5.92;;;UO_0000065;14.87;0.32;2.42;6.79;0;CHEMBL768746;In vitro inhibitory activity against human Prostaglandin G/H synthase 1 (COX-1) in U-937 cells;B;BAO_0000219;cell-based format;;;;U-937;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145864;1;Scientific Literature;J Med Chem;2003;CHEMBL3308006;;;;1.2
CHEMBL435381;CIMICOXIB;2.0;381.82;0;2.99;51f;COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F;IC50;'=';3300.0;nM;5.48;;;UO_0000065;14.36;0.30;2.49;6.29;0;CHEMBL768746;In vitro inhibitory activity against human Prostaglandin G/H synthase 1 (COX-1) in U-937 cells;B;BAO_0000219;cell-based format;;;;U-937;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1145864;1;Scientific Literature;J Med Chem;2003;CHEMBL3308006;;;;3.3
CHEMBL349518;;;312.39;0;3.25;2;Cc1cc(-c2ccccc2)n(-c2ccc(S(C)(=O)=O)cc2)n1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL767825;The compound was evaluated for its inhibitory activity against Prostaglandin G/H synthase 1 using monocytes-like cells;B;BAO_0000219;cell-based format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1135226;1;Scientific Literature;Bioorg Med Chem Lett;2002;;;;;10.0
CHEMBL155781;;;412.49;0;3.92;18;CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL766826;In vitro inhibitory activity against sensitive U-937 microsomal prostaglandin G/H synthase 1;B;BAO_0000019;assay format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1136575;1;Scientific Literature;Bioorg Med Chem Lett;2003;;;;;10.0
