ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL139;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;22.5;50.0;709.4;2424.1111111111113
CHEMBL13920;C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2;60.0;15.0;60.0;15.0
CHEMBL13980;CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2;95.0;95.0;95.0;95.0
CHEMBL140;COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;21945.0;40100.0;24222.5;40100.0
CHEMBL140167;Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1;30.0;0.12;30.0;0.12
CHEMBL141113;C[S+]([O-])c1ccc(C(Nc2nccs2)C(=O)c2ccc(F)cc2)cc1;;2100.0;;2100.0
CHEMBL143113;C#CCSc1ccccc1OC(C)=O;;25000.0;;25000.0
CHEMBL143339;CCCCCCCSc1ccccc1OC(C)=O;;2000.0;;2000.0
CHEMBL143776;Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1;1.0;0.08;1.0;0.08
CHEMBL143781;CS(=O)(=O)Nc1cc2c(cc1Sc1c(F)cccc1F)C(=O)CC2;;100.0;;100.0
CHEMBL144013;O=C1CCc2cc(NS(=O)(=O)C(F)(F)F)c(Sc3ccc(F)cc3F)cc21;;40.0;;40.0
CHEMBL144100;CS(=O)(=O)Nc1cc2c(cc1Sc1cccs1)C(=O)CC2;;1000.0;;1000.0
CHEMBL144218;CCCCCCSc1ccccc1OC(C)=O;;3500.0;;3500.0
CHEMBL144232;CC#CCSc1ccccc1OC(C)=O;;20000.0;;20000.0
CHEMBL144281;CSc1ccccc1OC(=O)CCl;;360000.0;;360000.0
CHEMBL144515;CCCCC#CC(C)Sc1ccccc1OC(C)=O;;7000.0;;7000.0
CHEMBL144533;CC(=O)Oc1ccccc1SCCCCCCBr;;12000.0;;12000.0
CHEMBL144547;CCCCC#CCSc1ccccc1OC(=O)CBr;;26000.0;;26000.0
CHEMBL144658;CCCCSc1ccccc1OC(C)=O;;34000.0;;34000.0
CHEMBL144675;Cc1ccccc1Sc1cc2c(cc1NS(C)(=O)=O)CCC2=O;;100.0;;100.0
CHEMBL144728;CS(=O)(=O)Nc1cc2c(cc1Sc1ccc(Br)cc1)C(=O)CC2;;10.0;;10.0
