ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A113C1N101,COc1cc(Cl)ccc1C1=N/C(=C\c2cc(C)ccc2O)C(=O)N1CCO,195.5729,82.36,5,2.9848200000000022,386.83500000000015,2,5,104.16060000000003,27,27,3,20,7
A67C1N101,COc1cc(Cl)ccc1C1=N/C(=C\c2ccc(C)c(C)c2)C(=O)N1CCO,190.58128,62.129999999999995,5,3.5876400000000035,384.86300000000017,1,4,107.23280000000004,27,27,3,21,6
A67C77N76,Cc1cc(N2C(=O)/C(=C/c3ccc(C)c(C)c3)N=C2CN(C)C)[nH]n1,177.55103,64.59,4,2.68276,337.4270000000001,1,4,100.69270000000004,25,25,3,19,6
A67C362N76,Cc1cc(N2C(=O)/C(=C/c3ccc(C)c(C)c3)N=C2c2cc(F)cc(F)c2)[nH]n1,182.28698,61.35,3,4.4476600000000035,392.40900000000005,1,3,107.59870000000002,29,29,4,22,7
A34C77N76,Cc1cc(N2C(=O)/C(=C/c3cccc(C(F)(F)F)c3)N=C2CN(C)C)[nH]n1,195.92481,64.59,4,3.0847200000000017,377.37000000000006,1,4,96.22070000000002,27,27,3,18,9
A29C77N76,Cc1cc(N2C(=O)/C(=C/c3cccs3)N=C2CN(C)C)[nH]n1,193.21471999999997,92.83,4,2.12742,315.40200000000004,1,5,89.09570000000002,22,22,3,15,7
A29C362N76,Cc1cc(N2C(=O)/C(=C/c3cccs3)N=C2c2cc(F)cc(F)c2)[nH]n1,197.95067,89.58999999999999,3,3.8923200000000024,370.384,1,4,96.00170000000003,26,26,4,18,8
A113C160N101,Cc1ccc(-c2ccccc2C2=N/C(=C\c3cc(C)ccc3O)C(=O)N2CCO)cc1,192.44622,73.13000000000001,5,4.298240000000004,412.48900000000015,2,4,122.77160000000002,31,31,4,26,5
A67C77N247,Cc1ccc(/C=C2\N=C(CN(C)C)N(C(=O)CN)C2=O)cc1C,183.72561,79.0,4,0.9319400000000001,314.38900000000007,1,5,90.78940000000003,23,23,2,17,6
A67C77N98,Cc1ccc(/C=C2\N=C(CN(C)C)N(C(C)(C)CC(C)(C)C)C2=O)cc1C,192.32899,35.91,5,4.661440000000004,369.55300000000017,0,3,114.87900000000008,27,27,2,23,4
